id,title,release_date,duration,genres,directors,actors,nationality,press_rating,number_of_press_rating,spec_rating,number_of_spec_rating,summary,sentiment_score,sentiment_tag,tone_tags,mood_tags,theme_tags,all_tags,features,recommendations
1,Le Facteur sonne toujours deux fois,1981-08-26,121.0,"Policier, Drame, Thriller",Bob Rafelson,"Jack Nicholson, Jessica Lange, John Colicos",américain,,,3.5,51151.0,"Frank Chamber rencontre, lors de ses pérégrinations, Nick Smith, qui tient un café au bord de la route. Quand il voit Cora, la très jolie femme de Nick, il accepte le travail qu'il lui propose.",0.1027,neutre,"comique,dramatique,satirique","romantique,énergique,angoissant","trahison,amitié,amour","Policier,Thriller,Drame","Frank Chamber rencontre, lors de ses pérégrinations, Nick Smith, qui tient un café au bord de la route. Quand il voit Cora, la très jolie femme de Nick, il accepte le travail qu'il lui propose. Policier,Thriller,Drame Policier, Drame, Thriller","[151, 407, 270]"
2,Falling in love,1985-03-27,110.0,Comédie dramatique,Ulu Grosbard,"Robert De Niro, Meryl Streep, Harvey Keitel",américain,,,3.0,31949.0,"L'amour naissant entre un architecte et une dessinatrice qui se rencontrent dans le métro et se heurtent à leur vie de couple respective, morne et routinière.",0.7506,positif,"dramatique,comique,ironique","romantique,angoissant,nostalgique","amour,amitié",Comédie dramatique,"L'amour naissant entre un architecte et une dessinatrice qui se rencontrent dans le métro et se heurtent à leur vie de couple respective, morne et routinière. Comédie dramatique Comédie dramatique","[313, 88, 265]"
3,Fanfan la Tulipe,1952-03-30,100.0,Aventure,Christian-Jaque,"Gérard Philipe, Gina Lollobrigida, Marcel Herrand","italien, français",,,3.1,99443.0,"Le sergent recruteur “La franchise” sillonnait la Normandie accompagné de sa fille, la belle Adeline, afin de recruter de nouveaux soldats prêts à aller mourir sur les champs de bataille du roi Louis XV. La tâche s’avérant de plus en plus difficile, ce racoleur avait mis au point un fin stratagème. Adeline, déguisée en bohémienne, arrêtait d’un sourire les garçons et lisait dans leur main une incroyable destinée : ils seraient les meilleurs soldats du royaume et épouseraient l’une des filles du roi. Fanfan la Tulipe, un jeune coq de village, passa par là...",0.4215,positif,"sombre,dramatique,comique","romantique,pessimiste,énergique","amitié,famille,vengeance",Aventure,"Le sergent recruteur “La franchise” sillonnait la Normandie accompagné de sa fille, la belle Adeline, afin de recruter de nouveaux soldats prêts à aller mourir sur les champs de bataille du roi Louis XV. La tâche s’avérant de plus en plus difficile, ce racoleur avait mis au point un fin stratagème. Adeline, déguisée en bohémienne, arrêtait d’un sourire les garçons et lisait dans leur main une incroyable destinée : ils seraient les meilleurs soldats du royaume et épouseraient l’une des filles du roi. Fanfan la Tulipe, un jeune coq de village, passa par là... Aventure Aventure","[127, 142, 428]"
8,Halloween 2,1982-06-16,91.0,"Epouvante-horreur, Thriller",Rick Rosenthal,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers",américain,,,2.7,1576205.0,"Michael Myers, échappé de l'hôpital psychiatrique, sème de nouveau la terreur dans la petite ville d'Haddonfield. Les habitants fêtent Halloween, la nuit des sorcières et la police a bien du mal à démasquer le meutrier.",0.1027,neutre,"sombre,dramatique,comique","énergique,pessimiste","famille,amitié,trahison","Thriller,Epouvante-horreur","Michael Myers, échappé de l'hôpital psychiatrique, sème de nouveau la terreur dans la petite ville d'Haddonfield. Les habitants fêtent Halloween, la nuit des sorcières et la police a bien du mal à démasquer le meutrier. Thriller,Epouvante-horreur Epouvante-horreur, Thriller","[188, 409, 505]"
12,Cabaret,1972-09-15,124.0,"Drame, Musical",Bob Fosse,"Liza Minnelli, Michael York, Helmut Griem",américain,,,3.9,89365.0,"La vie d'un cabaret et l'histoire d'un amour entre l'une des chanteuses et un jeune etudiant dans le Berlin des annees trente, secoue par la montee du nazisme...",0.0,neutre,"dramatique,comique,sérieux","romantique,angoissant,énergique","amour,amitié,famille","Musical,Drame","La vie d'un cabaret et l'histoire d'un amour entre l'une des chanteuses et un jeune etudiant dans le Berlin des annees trente, secoue par la montee du nazisme... Musical,Drame Drame, Musical","[314, 159, 272]"
17,Macadam Cowboy,1969-10-15,113.0,Drame,John Schlesinger,"Dustin Hoffman, Jon Voight, Ruth White",américain,3.4,5.0,4.0,3633171.0,"Joe Buck, blond et beau gosse, quitte sa petite bourgade du Texas pour monter à New York, où il espère se faire entretenir par des femmes riches. Mais la dureté de la ville lui faitrapidement perdre ses illusions. Seul, sans un sou, il fait la connaissance de Ratso Rizzo, un petit Italien chétif, boiteux et tuberculeux. Parce que ce dernier a l'air encore plus seul quelui, Joe accepte de partager son appartement miteux. À l'opposé l'un de l'autre, ils partagent pourtant la même misère dans les bas-fonds new-yorkais, s'accrochant au même rêve : partirvivre sous le soleil de Floride...",0.5267,positif,"sombre,comique,dramatique","pessimiste,romantique,angoissant","famille,amour,rédemption",Drame,"Joe Buck, blond et beau gosse, quitte sa petite bourgade du Texas pour monter à New York, où il espère se faire entretenir par des femmes riches. Mais la dureté de la ville lui faitrapidement perdre ses illusions. Seul, sans un sou, il fait la connaissance de Ratso Rizzo, un petit Italien chétif, boiteux et tuberculeux. Parce que ce dernier a l'air encore plus seul quelui, Joe accepte de partager son appartement miteux. À l'opposé l'un de l'autre, ils partagent pourtant la même misère dans les bas-fonds new-yorkais, s'accrochant au même rêve : partirvivre sous le soleil de Floride... Drame Drame","[308, 502, 170]"
24,Octopussy,1983-10-05,131.0,"Policier, Espionnage, Action, Thriller",John Glen,"Roger Moore, Maud Adams, Louis Jourdan","britannique, américain",,,3.1,3688186.0,"Chargé d'enquêter sur la mort très suspecte de l'agent 009 (pourquoi avait-il donc cet inestimable œuf Fabergé dans la main ?...), James Bond assiste à la mise aux enchères de l’œuf. Le richissime Kamal Khan en fait l'acquisition. Ce prince Indien exilé semble nourrir de secrètes accointances avec le général renégat Orlov. Mais quel lien y a-t-il entre l’œuf, les complots du tandem russo-indien et la désirable, bien que mystérieuse, Octopussy ? Et si c'était le déclenchement de la Troisième Guerre Mondiale ?!...",0.3031,positif,"sombre,dramatique,comique","énergique,romantique,angoissant","famille,amitié,trahison","Policier,Espionnage,Action,Thriller","Chargé d'enquêter sur la mort très suspecte de l'agent 009 (pourquoi avait-il donc cet inestimable œuf Fabergé dans la main ?...), James Bond assiste à la mise aux enchères de l’œuf. Le richissime Kamal Khan en fait l'acquisition. Ce prince Indien exilé semble nourrir de secrètes accointances avec le général renégat Orlov. Mais quel lien y a-t-il entre l’œuf, les complots du tandem russo-indien et la désirable, bien que mystérieuse, Octopussy ? Et si c'était le déclenchement de la Troisième Guerre Mondiale ?!... Policier,Espionnage,Action,Thriller Policier, Espionnage, Action, Thriller","[246, 397, 381]"
29,À bout de souffle,1960-03-16,90.0,"Policier, Drame, Romance",Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo, Daniel Boulanger",français,5.0,1.0,3.8,6330345.0,"Marseille, un mardi matin. Michel Poiccard vole une voiture de l’U.S. Army et prend la route nationale en direction de Paris. Énervé par une 2CV qui n’ose pas dépasser un camion, Michel double en plein virage et se fait prendre en chasse par un motard. Paniqué, il abat le policier d’un coup de revolver et s’enfuit. Le lendemain, en arrivant à Paris, Michel retrouve une jeune étudiante américaine, Patricia, avec laquelle il a une liaison amoureuse libre. Elle veut devenir journaliste et, pour pouvoir financer ses études à la Sorbonne, vend le New York Herald Tribune sur les Champs-Élysées...",0.5574,positif,"dramatique,comique,satirique","romantique,énergique,angoissant","pouvoir,amour,amitié","Policier,Romance,Drame","Marseille, un mardi matin. Michel Poiccard vole une voiture de l’U.S. Army et prend la route nationale en direction de Paris. Énervé par une 2CV qui n’ose pas dépasser un camion, Michel double en plein virage et se fait prendre en chasse par un motard. Paniqué, il abat le policier d’un coup de revolver et s’enfuit. Le lendemain, en arrivant à Paris, Michel retrouve une jeune étudiante américaine, Patricia, avec laquelle il a une liaison amoureuse libre. Elle veut devenir journaliste et, pour pouvoir financer ses études à la Sorbonne, vend le New York Herald Tribune sur les Champs-Élysées... Policier,Romance,Drame Policier, Drame, Romance","[182, 515, 502]"
45,"Affreux, sales et méchants",1976-12-15,115.0,Comédie dramatique,Ettore Scola,"Nino Manfredi, Francesco Anniballi, Maria Bosco",italien,5.0,2.0,3.9,1080108.0,"Dans un bidonville à Rome, Giacinto règne en tyran sur sa nombreuse famille. Tous acceptent son autorité et sa mauvaise humeur, car le patriarche possède un magot que chacun espère lui voler. Chaque jour, il lui faut trouver de nouvelles cachettes et défendre son bien fusil en main. Lorsqu'il décide d'installer sa concubine dans le baraquement, la révolte gronde...",0.0,neutre,"sombre,dramatique,comique","romantique,angoissant,énergique","famille,trahison,pouvoir",Comédie dramatique,"Dans un bidonville à Rome, Giacinto règne en tyran sur sa nombreuse famille. Tous acceptent son autorité et sa mauvaise humeur, car le patriarche possède un magot que chacun espère lui voler. Chaque jour, il lui faut trouver de nouvelles cachettes et défendre son bien fusil en main. Lorsqu'il décide d'installer sa concubine dans le baraquement, la révolte gronde... Comédie dramatique Comédie dramatique","[404, 265, 323]"
46,L'Africain,2014-09-10,101.0,Comédie,Philippe de Broca,"Philippe Noiret, Catherine Deneuve, Jean-François Balmer",français,,,3.0,25224.0,"Victor, amoureux de la nature, a trouvé le repos dans une idyllique contrée de l'Afrique centrale. L'arrivée intempestive de son ex-femme menace son univers paradisiaque. Celle-ci veut en effet implanter dans la région un village-vacances pour touristes fortunés.",-0.4939,négatif,"dramatique,comique,ironique","romantique,nostalgique,angoissant","amour,amitié,pouvoir",Comédie,"Victor, amoureux de la nature, a trouvé le repos dans une idyllique contrée de l'Afrique centrale. L'arrivée intempestive de son ex-femme menace son univers paradisiaque. Celle-ci veut en effet implanter dans la région un village-vacances pour touristes fortunés. Comédie Comédie","[115, 494, 157]"
